"code_muni2","pop_2012","pop_2008","code_muni","IDHM","UF","log_to_brasilia","log_to_capital","metropolitano"
"2902302",8632,8788,290230,0.575,"BA",6.91482026310426,3.99875100893797,1
"2902401",13059,14559,290240,0.568,"BA",6.84367531935583,5.15738724211383,0
"2902500",13420,14019,290250,0.589,"BA",6.27711330377359,6.48884012314957,0
"2902609",20031,21704,290260,0.585,"BA",6.84507103760475,5.35724643407732,0
"2902658",11840,11166,290265,0.579,"BA",7.05813026842436,5.58514907754498,0
"2902708",50134,49705,290270,0.557,"BA",6.59970722057748,6.30142779037475,0
"2902807",20767,20918,290280,0.575,"BA",6.6192862302791,5.74719311573795,0
"2902906",35501,32419,290290,0.551,"BA",6.67780108782256,5.73035948950665,0
"2903003",13914,14458,290300,0.63,"BA",6.64951549713031,6.00726407464189,0
"2903102",6038,6071,290310,0.577,"BA",6.81483923095582,5.20086990438207,0
"2903201",141081,135650,290320,0.721,"BA",6.24045126837971,6.56388373487898,0
"2903235",13914,13990,290323,0.607,"BA",6.6702719020631,5.97414034597478,0
"2903276",14495,13722,290327,0.61,"BA",6.97225942452887,5.14615637264893,0
"2903300",6122,6626,290330,0.602,"BA",6.81739283890175,5.43476948968354,0
"2903409",22067,22336,290340,0.598,"BA",6.8750667843586,5.78092868383285,0
"2903508",17625,15427,290350,0.575,"BA",6.57886224748432,5.92748586922893,0
"2903607",14866,14307,290360,0.538,"BA",6.99326302608673,5.03565305707154,0
"2903706",14620,15916,290370,0.567,"BA",6.73801030439262,5.48043056830425,0
"2903805",17898,18323,290380,0.551,"BA",6.75910444722544,5.43847053673144,0
"2903904",64740,65148,290390,0.633,"BA",6.32964960173287,6.27726359778653,0
"2903953",10120,10588,290395,0.546,"BA",6.70009129851631,5.58263127309205,0
"2904001",13893,13738,290400,0.612,"BA",6.6083919117565,5.88846235951828,0
"2904050",15126,14205,290405,0.561,"BA",6.72724008972355,5.76647554399462,0
"2904100",22025,22502,290410,0.603,"BA",6.47617204271891,6.1262139476596,0
"2904209",10950,11186,290420,0.575,"BA",6.46145255123165,6.07938384514587,0
"2904308",14123,12726,290430,0.597,"BA",6.82969643548144,4.94157099148673,0
"2904407",11247,9703,290440,0.592,"BA",6.33338619439736,6.38711498182775,0
"2904506",10479,11083,290450,0.57,"BA",6.56556070095055,6.13040006112876,0
"2904605",64972,64417,290460,0.656,"BA",6.54437217125334,5.90650560788079,0
"2904704",18528,20687,290470,0.613,"BA",6.83487270956187,5.46755368379334,0
"2904753",19853,19349,290475,0.565,"BA",6.59446817781496,6.4156696265902,0
"2904803",10576,10023,290480,0.561,"BA",6.69868720177247,5.71287435133442,0
"2904852",17582,18302,290485,0.581,"BA",6.91642756576202,4.47949357790009,1
"2904902",32270,33495,290490,0.647,"BA",6.93643991284205,4.13035499974513,1
"2905008",22577,22282,290500,0.637,"BA",6.44392455807425,6.0765407194631,0
"2905107",10013,10417,290510,0.546,"BA",6.8706347588787,5.68958212525506,0
"2905156",14926,12389,290515,0.542,"BA",6.64715645520674,5.70541447555133,0
"2905206",47774,47774,290520,0.625,"BA",6.42352289948567,6.09942168861307,0
"2905305",17398,18119,290530,0.584,"BA",6.72463740521196,5.86132738755147,0
"2905404",15973,14438,290540,0.627,"BA",6.89700773043537,4.39900665470857,0
"2905503",12658,13697,290550,0.573,"BA",6.88747093567943,5.67548587550109,0
"2905602",31535,31133,290560,0.581,"BA",6.80693997374332,5.67737005070437,0
"2905701",255238,227955,290570,0.694,"BA",6.99426319592369,3.59731226058845,1
"2905800",35366,32981,290580,0.565,"BA",6.87746100634854,4.83524962830341,0
"2905909",28156,27686,290590,0.557,"BA",6.77683761046,6.4348514482147,0
"2906006",67305,67582,290600,0.586,"BA",6.91851716162617,5.8209727420676,0
"2906105",9395,11016,290610,0.565,"BA",6.21848059063607,6.42426916817702,0
"2906204",24430,25557,290620,0.587,"BA",6.69233185068307,5.94466115799328,0
"2906303",31902,36911,290630,0.59,"BA",6.86846336329402,5.71807977935703,0
"2906402",8720,9157,290640,0.587,"BA",6.95534472257505,4.9781121023907,0
"2906501",84121,81306,290650,0.691,"BA",6.97382387895184,3.52547778217249,1
"2906600",13329,12766,290660,0.591,"BA",6.33583408918956,6.20875097893779,0
"2906709",25711,27327,290670,0.601,"BA",6.57517346484398,6.00935357994372,0
"2906808",33054,33920,290680,0.557,"BA",6.97984335537639,5.62542445820427,0
"2906824",15941,15229,290682,0.562,"BA",7.04664727784876,5.8343720443598,0
"2906857",11485,12748,290685,0.599,"BA",6.8938895931205,5.31998100618406,0
"2906873",27067,26877,290687,0.621,"BA",6.89305779822155,5.48330204076148,0
"2906899",9879,10659,290689,0.555,"BA",6.57887614168002,5.87124416854313,0
"2906907",21612,21945,290690,0.616,"BA",6.85387970601282,6.28329425621064,0
"2907004",9030,8570,290700,0.552,"BA",7.05501944396069,4.86499276156079,0
"2907103",28519,29988,290710,0.576,"BA",6.1661738708998,6.37464996252506,0
"2907202",66331,65747,290720,0.57,"BA",6.96067025772852,6.2174440732414,0
"2907301",25555,25052,290730,0.613,"BA",6.88284764327595,4.62477671562701,1
"2907400",3215,3972,290740,0.582,"BA",6.2298710250881,6.54068361886084,0
"2907509",51734,50470,290750,0.677,"BA",7.0013913309434,4.25120585074233,1
"2907558",8817,8749,290755,0.571,"BA",6.50013284552011,6.01912835109046,0
"2907608",17057,17928,290760,0.596,"BA",6.70159174770261,6.09047242743803,0
"2907707",10794,10952,290770,0.6,"BA",7.10760563806039,6.10550726314864,0
"2907806",32470,31774,290780,0.585,"BA",7.07565669686479,5.57598698121681,0
"2907905",15884,15634,290790,0.601,"BA",7.0413766675569,5.33777843542895,0
"2908002",19937,22812,290800,0.613,"BA",6.81110119654506,5.37994343542798,0
"2908101",18235,17908,290810,0.596,"BA",6.0054660667438,6.49950128554604,0
"2908200",20826,19891,290820,0.634,"BA",6.93663423853251,4.30392994893746,0
"2908309",17705,18076,290830,0.606,"BA",6.90824515897134,4.29100723628671,1
"2908408",63033,63318,290840,0.611,"BA",6.95178173373112,5.17908327862434,0
"2908507",30717,28552,290850,0.663,"BA",6.96632602833992,4.34029276618957,0
"2908606",24103,22929,290860,0.56,"BA",7.08847555440912,5.08493848528874,0
"2908705",17421,17000,290870,0.582,"BA",6.47192889673797,6.06413398506736,0
"2908804",4613,3924,290880,0.577,"BA",6.65136513387429,5.66129242303525,0
"2908903",22149,23797,290890,0.592,"BA",6.97150911733668,4.45504472741045,0
"2909000",8245,8826,290900,0.579,"BA",6.4737054940182,6.07559887268477,0
"2909109",14210,14931,290910,0.6,"BA",6.06858761215456,6.4767569550757,0
"2909208",16650,18540,290920,0.535,"BA",7.1258460866597,5.72194977861165,0
"2909307",31397,32784,290930,0.603,"BA",6.10054314213422,6.49914021496786,0
"2909406",13614,14127,290940,0.59,"BA",6.35504807175197,6.44986992592664,0
"2909505",5048,5651,290950,0.599,"BA",6.81756795491655,4.994709143546,0
"2909604",20199,20179,290960,0.543,"BA",7.05460508646784,5.11811356572508,0
"2909703",13374,14140,290970,0.614,"BA",6.3036623872457,6.47161960084759,0
"2909802",59470,56766,290980,0.699,"BA",6.91992097588101,4.28068580701221,1
"2909901",32631,33929,290990,0.581,"BA",7.04948051023512,6.14842555996174,0
"2910008",12217,12611,291000,0.54,"BA",6.77304605012363,5.40294761562612,0
"2910057",69628,56600,291005,0.676,"BA",6.99969615268049,3.83037901638764,1
"2910107",11454,11518,291010,0.591,"BA",6.54996542805123,5.89555919022091,0
"2910206",3894,3936,291020,0.632,"BA",6.90160641339526,4.30770710168121,1
"2910305",7961,8159,291030,0.623,"BA",6.86569293220964,4.6967461294753,0
"2910404",22478,21875,291040,0.544,"BA",6.62301554028448,5.95183975232471,0
"2910503",40180,40276,291050,0.615,"BA",7.04327344666139,4.81591721696575,0
"2910602",33618,32593,291060,0.589,"BA",7.06084539661207,4.97251797198313,0
"2910701",56962,58746,291070,0.567,"BA",7.02917613418648,5.63225066851496,0
"2910727",102628,98194,291072,0.677,"BA",6.79634315589588,5.98116165411208,0
"2910750",17555,19588,291075,0.559,"BA",7.08885942836965,5.58191611356218,0
"2910776",6177,6537,291077,0.588,"BA",6.06187641134835,6.45923130141333,0
"2910800",568099,584497,291080,0.712,"BA",6.94951123722246,4.52839712718218,0
"2910859",16672,16319,291085,0.565,"BA",6.92033581118747,5.71821121130832,0
"2910909",5417,5804,291090,0.578,"BA",6.76020609458941,5.6018235743467,0
"2911006",10657,10489,291100,0.557,"BA",6.79427298187745,5.49684030268,0
"2911105",23169,21827,291110,0.618,"BA",6.40306082114639,6.63001033597625,0
"2911204",30816,31410,291120,0.632,"BA",6.84111321361258,4.91375721911977,0
"2911253",4510,4537,291125,0.599,"BA",6.90975328164481,5.37851390854231,0
"2911303",10690,11829,291130,0.559,"BA",6.63322632377527,6.1459009004124,0
"2911402",15114,14223,291140,0.593,"BA",7.14701624415461,6.00341782122544,0
"2911501",8031,6581,291150,0.576,"BA",6.82788922237155,5.20505009857759,0
"2911600",19926,20539,291160,0.643,"BA",6.92847905052211,4.2597177477861,1
